Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2021/01/04,BLNK,BLNK,S,CBOE,5202
2021/01/04,BLOK,BLOK,S,CBOE,174
2021/01/04,BLUE,BLUE,S,CBOE,68
2021/01/04,BLV,BLV,S,CBOE,6
2021/01/04,BMA,BMA,S,CBOE,4
2021/01/04,BMO,BMO,S,CBOE,67
2021/01/04,BMRN,BMRN,S,CBOE,471
2021/01/04,BMY,BMY,S,CBOE,4055
2021/01/04,BND,BND,S,CBOE,9
2021/01/04,BNED,BNED,S,CBOE,3
2021/01/04,BNO,BNO,S,CBOE,14
2021/01/04,2BNS,BNS,S,CBOE,44000
2021/01/04,BNS,BNS,S,CBOE,36
2021/01/04,BNTX,BNTX,S,CBOE,1496
2021/01/04,BOIL,BOIL,S,CBOE,140
2021/01/04,BOND,BOND,S,CBOE,10
2021/01/04,BOOM,BOOM,S,CBOE,2
2021/01/04,BOTZ,BOTZ,S,CBOE,70
2021/01/04,BOX,BOX,S,CBOE,238
2021/01/04,BP,BP,S,CBOE,2056
2021/01/04,BPMC,BPMC,S,CBOE,1
2021/01/04,BPOP,BPOP,S,CBOE,18
2021/01/04,BPT,BPT,S,CBOE,9
2021/01/04,BPY,BPY,S,CBOE,877
2021/01/04,BPYU,BPYU,S,CBOE,246
2021/01/04,BR,BR,S,CBOE,6
2021/01/04,BRBR,BRBR,S,CBOE,1
2021/01/04,BRG,BRG,S,CBOE,3
2021/01/04,2BRKB,BRKB,S,CBOE,1200
2021/01/04,BRKB,BRKB,S,CBOE,1675
2021/01/04,BRKS,BRKS,S,CBOE,3
2021/01/04,BRO,BRO,S,CBOE,2
2021/01/04,BRX,BRX,S,CBOE,14
2021/01/04,BRZU,BRZU,S,CBOE,405
2021/01/04,BRZU1,BRZU,S,CBOE,22
2021/01/04,BSAC,BSAC,S,CBOE,25
2021/01/04,BSGM,BSGM,S,CBOE,57
2021/01/04,BSM,BSM,S,CBOE,29
2021/01/04,BSQR,BSQR,S,CBOE,1
2021/01/04,BSRR,BSRR,S,CBOE,2
2021/01/04,BSX,BSX,S,CBOE,1794
2021/01/04,BTAI,BTAI,S,CBOE,97
2021/01/04,BTG,BTG,S,CBOE,114
2021/01/04,BTI,BTI,S,CBOE,31
2021/01/04,BTN,BTN,S,CBOE,3
2021/01/04,BTU,BTU,S,CBOE,207
2021/01/04,BUD,BUD,S,CBOE,356
2021/01/04,BUR,BUR,S,CBOE,9
2021/01/04,BURL,BURL,S,CBOE,29
2021/01/04,BVN,BVN,S,CBOE,10
2021/01/04,BW,BW,S,CBOE,15
2021/01/04,BWA,BWA,S,CBOE,12
2021/01/04,BWX,BWX,S,CBOE,2
2021/01/04,BWXT,BWXT,S,CBOE,2
2021/01/04,BX,BX,S,CBOE,3200
2021/01/04,BXC,BXC,S,CBOE,50
2021/01/04,BXMT,BXMT,S,CBOE,149
2021/01/04,BXP,BXP,S,CBOE,44
2021/01/04,BXRX,BXRX,S,CBOE,13
2021/01/04,BYD,BYD,S,CBOE,532
2021/01/04,BYND,BYND,S,CBOE,3462
2021/01/04,BZH,BZH,S,CBOE,110
2021/01/04,BZQ,BZQ,S,CBOE,3
2021/01/04,BZUN,BZUN,S,CBOE,96
2021/01/04,C,C,S,CBOE,6824
2021/01/04,CAAS,CAAS,S,CBOE,3
2021/01/04,CACI,CACI,S,CBOE,4
2021/01/04,CADE,CADE,S,CBOE,10
2021/01/04,CAF,CAF,S,CBOE,3
2021/01/04,CAG,CAG,S,CBOE,704
2021/01/04,CAH,CAH,S,CBOE,724
2021/01/04,CAI,CAI,S,CBOE,5
2021/01/04,CAJ,CAJ,S,CBOE,40
2021/01/04,CAKE,CAKE,S,CBOE,83
2021/01/04,CAL,CAL,S,CBOE,1
2021/01/04,1CALA,CALA,S,CBOE,270
2021/01/04,CALA,CALA,S,CBOE,2157
2021/01/04,CALM,CALM,S,CBOE,12
2021/01/04,CALX,CALX,S,CBOE,127
2021/01/04,CAMP,CAMP,S,CBOE,10
2021/01/04,CANE,CANE,S,CBOE,3
2021/01/04,CAPL,CAPL,S,CBOE,2
2021/01/04,CAPR,CAPR,S,CBOE,99
2021/01/04,CAR,CAR,S,CBOE,269
2021/01/04,CARA,CARA,S,CBOE,1
2021/01/04,CARG,CARG,S,CBOE,32
2021/01/04,CARR,CARR,S,CBOE,150
2021/01/04,CARS,CARS,S,CBOE,4
2021/01/04,CASY,CASY,S,CBOE,21
2021/01/04,CAT,CAT,S,CBOE,5087
2021/01/04,CB,CB,S,CBOE,38
2021/01/04,CBAT,CBAT,S,CBOE,548
2021/01/04,CBAY,CBAY,S,CBOE,3
2021/01/04,CBB,CBB,S,CBOE,20
2021/01/04,CBOE,CBOE,S,CBOE,51
2021/01/04,CBRE,CBRE,S,CBOE,9
